"d061645","abdominoplasty","abdominoplasties","panniculectomy","panniculectomies"
"d057128","aberrometry","aberrometries"
"d004106","dilatation","dilation"
"d004188","disarticulation",
"d017586","diskectomy","diskectomies","discectomy","discectomies"
"d004210","dissection",
"d057168","distillation",
"d004322","drainage",
"d020698","duodenoscopes",
"d004384","duodenoscopy","duodenoscopies","surgical procedure duodenoscopic","duodenoscopic surgery","surgeries duodenoscopic"
"d004385","duodenostomy","duodenostomies"
"d004452","echocardiography","transthoracic echocardiography","echocardiography cross sectional","echocardiography m mode","echocardiography contrast","2d echocardiography","echocardiography two dimensional","echocardiography 2 d"
"d004453","echoencephalography","echoencephalographies"
"d015671","electroacupuncture",
"d004562","electrocardiography","ecg","ekg","electrocardiogram","electrocardiograph"
"d053672","electrochemotherapy","electrochemotherapies"
"d004564","electrocoagulation","electrocautery","thermocoagulation","galvanocautery","surgical diathermy","endocavitary fulguration"
"d000069280","electrocorticography","electrocorticographies","electrocorticography ecog","electrocorticographies ecog","intracranial electroencephalography","electroencephalographies intracranial","intracranial eeg","extraoperative electrocorticography","electrocorticographies extraoperative","extraoperative ecog","intraoperative electrocorticography","electrocorticographies intraoperative","intraoperative ecog"
"d004566","electrodes","anode","cathode"
"d004568","electrodiagnosis","electrodiagnoses"
"d004569","electroencephalography","eeg","electroencephalogram"
"d004571","electrokymography","electrokymographies","kymography radiographic","roentgenkymography","roentgenkymographies","kymographies radiographic","photokymography","photokymographies"
"d004572","electrolysis","electrolyses"
"d004576","electromyography","electromyographies","surface electromyography","electromyographies surface","electromyogram"
"d004580","electronarcosis","electronarcoses","electric anesthesia","electrosleep","electroanesthesia"
"d004584","electronystagmography","electronystagmographies"
"d004585","electrooculography","eog","electrooculogram"
"d053841","electroosmosis","electroosmotic flow"
"d004586","electrophoresis","electrophoreses"
"d004595","electroplating","metal plating","electrodeposition"
"d018274","electroporation","electropermeabilisation"
"d004596","electroretinography","electroretinographies"
"d004597","electroshock","electroconvulsive shock"
"d004598","electrosurgery","electrosurgeries"
"d058874","electrowetting","electrocapillary effect"
"d017128","embolectomy","embolectomies"
"d058453","emmetropia",
"d004691","endarterectomy","endarterectomies","thromboendarterectomy","thromboendarterectomies"
"d004708","endodontics","endodontology"
"d019723","endoscopes",
"d004724","endoscopy","procedure endoscopic surgical","endoscopy surgical"
"d019160","endosonography","endosonographies","echo endoscopies","ultrasonic endoscopy","echo endoscopy","endoscopies ultrasonic","ultrasonography endoscopic","endoscopic ultrasonographies"
"d058450","endotamponade",
"d004733","enema","enemata"
"d016061","enterosorption",
"d004766","enterostomy","enterostomies"
"d017391","epikeratophakia","epikeratoplasty","epikeratoplasties"
"d004841","episiotomy","episiotomies"
"d016552","ergometry","ergometries"
"d016629","esophagectomy","esophagectomies"
"d004944","esophagoplasty","esophagoplasties"
"d020701","esophagoscopes",
"d004945","esophagoscopy","esophagoscopies","surgical procedure esophagoscopic","esophagoscopic surgery","surgeries esophagoscopic"
"d004946","esophagostomy","esophagostomies","cervical esophagostomy","cervical esophagostomies"
"d005065","euthanasia","mercy killing"
"d005139","eyeglasses","spectacles","glasses","prescription sun glasses"
"d019066","facies",
"d000071938","fasciotomy","fasciectomy"
"d020669","fetoscopes","amnioscope","embryoscope"
"d005332","fetoscopy","fetoscopies","amnioscopy","amnioscopies","surgical procedure fetoscopic","fetoscopic surgery","surgeries fetoscopic","embryoscopy","embryoscopies","surgical procedure amnioscopic","amnioscopic surgery","surgeries amnioscopic","embryoscopic surgical procedure","embryoscopic surgery","surgeries embryoscopic"
"d005374","filtration",
"d005427","flocculation",
"d045268","flowmeters",
"d005457","fluoridation","milk fluoridation","water fluoridation","salt fluoridation"
"d015200","fluoroimmunoassay","immunofluorometric assay","time resolved immunofluorometric assay"
"d005470","fluorometry","fluorimetry","fluorometric analysis"
"d015590","fluorophotometry","vitreous fluorophotometry","ocular fluorophotometry"
"d005471","fluoroscopy","fluoroscopies"
"d059526","foraminotomy","foraminotomies"
"d017709","fractals",
"d018662","fundoplication","nissen operation"
"d005684","gait",
"d015171","ganglionectomy","ganglionectomies"
"d005743","gastrectomy","gastrectomies"
"d005763","gastroenterostomy","gastroenterostomies","billroth i procedure","billroth i operation","billroth i","billroth ii procedure","billroth ii operation","billroth ii"
"d059485","gastropexy","gastropexis"
"d015391","gastroplasty","gastroplasties","collis gastroplasty","vertical banded gastroplasty","gastroplasties vertical banded"
"d020699","gastroscopes",
"d005773","gastroscopy","gastroscopies","surgical procedure gastroscopic","gastroscopic surgery","surgeries gastroscopic"
"d005774","gastrostomy","gastrostomies"
"d063172","genioplasty","genioplasties","chin repositioning"
"d005890","gingivectomy","gingivectomies"
"d005893","gingivoplasty","gingivoplasties"
"d005927","glossectomy","glossectomies"
"d006068","gonioscopy","gonioscopies"
"d006370","heliotherapy",
"d006400","hematocrit","packed red cell volume","packed erythrocyte volume"
"d062785","hemiarthroplasty","hemiarthroplasties","hemi arthroplasty","hemi arthroplasties"
"d006428","hemipelvectomy","hemipelvectomies"
"d038421","hemispherectomy","total hemispherectomy","partial hemispherectomy","functional hemispherectomy"
"d017583","hemodiafiltration","acetate free biofiltration"
"d006438","hemodilution",
"d006440","hemofiltration","venovenous hemofiltration","arteriovenous hemofiltration"
"d006452","hemoglobinometry","hemoglobinometries"
"d006464","hemoperfusion","hemosorption"
"d018056","hemorheology","hemorrheology"
"d061865","hemorrhoidectomy","hemorrhoidectomies"
"d006498","hepatectomy","hepatectomies"
"d059685","herniorrhaphy","herniorrhaphies","hernia repair","hernioplasty","hernioplasties"
"d006651","histocytochemistry","cytochemistry"
"d006696","holography",
"d006705","homeopathy","homoeopathy"
"d006760","hospitalization",
"d000068998","humidifiers",
"d006875","hydrotherapy","hydrotherapies","bath whirlpool"
"d006920","hygiene",
"d006990","hypnosis","hypnoses","hypnotism","hypnotherapy","hypnotherapies","mesmerism"
"d055103","hypodermoclysis","subcutaneous hydration","fluid administration subcutaneous"
"d007016","hypophysectomy","hypophysectomies"
"d007044","hysterectomy","hysterectomies"
"d007047","hysterosalpingography","hysterosalpingographies","salpingography","salpingographies"
"d020702","hysteroscopes","hysteroscope"
"d015907","hysteroscopy","hysteroscopies","uterine endoscopy","uteroscopy","uteroscopies","endoscopies uterine","surgical procedure hysteroscopic","hysteroscopic surgery","surgeries hysteroscopic"
"d020883","hysterotomy","hysterotomies"
"d007081","ileostomy","ileostomies","tube ileostomy","ileostomies tube","incontinent ileostomy","ileostomies incontinent","loop ileostomy","ileostomies loop","continent ileostomy","continent ileostomies"
"d007101","immersion","submersion"
"d007103","immobilization","hypokinesia experimental"
"d007114","immunization","sensitization immunologic","sensitization immunological","immunologic stimulation","immunostimulation","immunological stimulation","variolation"
"d007118","immunoassay","immunochromatographic assay"
"d015151","immunoblotting","immunoblotting reverse","immunoelectroblotting","electroimmunoblotting","dot immunoblotting"
"d005779","immunodiffusion","test gel diffusion"
"d007122","immunoelectrophoresis",
"d007150","immunohistochemistry","immunolabeling technique","immunolabeling technic","immunogold technique","immunogold technic","immunohistocytochemistry","immunogold silver technique","immunogold silver technic","immunocytochemistry"
"d056747","immunomodulation","immunomodulatory therapy","immunomodulatory therapies"
"d016130","immunophenotyping","subtyping immunologic","lymphocyte subtyping","lymphocyte immunophenotyping","lymphocyte phenotyping"
"d047468","immunoprecipitation","immune precipitation","co immunoprecipitation"
"d007165","immunosuppression","anti rejection therapy","anti rejection therapies","therapy antirejection","antirejection therapies"
"d007167","immunotherapy","immunotherapies"
"d000074024","immunoturbidimetry","immunoturbidimetries","immunonephelometric assay","immunoturbidimetric assay","turbidimetric immunoassay","immunonephelometry","immunonephelometries"
"d007178","inbreeding","half sib mating","genetic inbreeding","backcrossing","sib mating"
"d015994","incidence",
"d007185","incubators",
"d007267","injections","injectable"
"d007284","inlays","inlay dental","dental onlay","onlay"
"d007326","institutionalization","institutionalized person"
"d007327","insufflation",
"d007368","interferometry","interferometries"
"d007440","intubation",
"d007478","iontophoresis","iontophoreses"
"d032801","iridectomy","iridectomies","corectomy","corectomies"
"d057625","isotachophoresis","displacement electrophoresis"
"d007582","jejunostomy","jejunostomies"
"d007620","karyometry","karyometric analysis","analyses karyometric","karyometric image analysis","karyometric image analyses"
"d007621","karyotyping","method karyotype analysis"
"d000074431","keratectomy","keratectomies"
"d000070496","kinanthropometry","kinanthropometries"
"d007702","kinetocardiography","kinetocardiographies","vibrocardiography","vibrocardiographies","apex cardiography","apex cardiographies","accelography","accelographies"
"d007734","kymography","kymographies"
"d058498","kyphoplasty","balloon vertebroplasty"
"d007796","laminectomy","laminectomies","laminotomy","laminotomies"
"d065406","laminoplasty","laminoplasties","laminaplasty","laminaplasties"
"d020706","laparoscopes","celioscope","laparoscope"
"d010535","laparoscopy","laparoscopies","celioscopy","celioscopies","peritoneoscopy","peritoneoscopies","laparoscopic surgical procedure","surgery laparoscopic","laparoscopic surgeries","laparoscopic assisted surgery","laparoscopic assisted surgeries"
"d007813","laparotomy","laparotomies","minilaparotomy","minilaparotomies"
"d007825","laryngectomy","laryngectomies"
"d058753","laryngoplasty","laryngoplasties","medialization laryngoplasty","laryngoplasties medialization","thyroplasty"
"d020704","laryngoscopes",
"d007828","laryngoscopy","laryngoscopies","surgical procedure laryngoscopic","laryngoscopic surgery","surgeries laryngoscopic"
"d007834","lasers","laser q switched","laser pulsed","continuous wave laser","maser"
"d024763","leeching","leech therapy"
"d007909","lenses",
"d007937","leukapheresis","leukaphereses","leukocytopheresis","leukocytophereses","leukopheresis","leukophereses","leukocytapheresis","leukocytaphereses","lymphapheresis","lymphaphereses","lymphocytopheresis","lymphocytophereses","lymphopheresis","lymphophereses","lymphocytapheresis","lymphocytaphereses"
"d008026","ligation","ligature"
"d015187","lipectomy","lipectomies","aspiration lipectomy","aspiration lipectomies","aspiration lipolysis","suction lipectomy","lipectomies suction","lipolysis suction","liposuction","lipoplasty","lipoplasties"
"d000077845","lipoabdominoplasty","lipoabdominoplasties"
"d008085","lipreading","lip reading","speechreading"
"d008096","lithotripsy","lithotripsies","litholapaxy","litholapaxies","percutaneous ultrasonic lithotripsy","ultrasonic lithotripsies percutaneous","lithotripsies ultrasonic","lithotripsy ultrasonic","extracorporeal shockwave lithotripsies","lithotripsy extracorporeal shockwave","electrohydraulic shockwave lithotripsies","lithotripsy electrohydraulic shockwave","eswl extracorporeal shockwave lithotripsy","noninvasive litholapaxy","litholapaxies noninvasive"
"d008153","lubrication",
"d008220","lymphography","lymphographies","lymphangiography","lymphangiographies"
"d061305","lymphoscintigraphy","lymphoscintigraphies"
"d008273","magic",
"d053798","magnetocardiography",
"d015225","magnetoencephalography",
"d060306","magnetometry",
"d016462","mammaplasty","mammaplasties","mammoplasty","mammoplasties","breast reconstruction"
"d008327","mammography","mammographies","digital mammography","digital mammographies","digital breast tomosynthesis","breast tomosyntheses digital","3d mammography","3d mammographies","x ray breast tomosynthesis","breast tomosyntheses x ray"
"d008365","manometry","manometries","tonometry"
"d008397","masks",
"d008405","massage","zone therapy","therapies zone","massage therapy","massage therapies"
"d008408","mastectomy","mastectomies","mammectomy","mammectomies"
"d000074406","mastoidectomy","mastoidectomies","complete mastoidectomy","complete mastoidectomies","modified radical mastoidectomy","radical mastoidectomies modified","mastoidectomies radical","mastoidectomy radical"
"d020707","mediastinoscopes",
"d008481","mediastinoscopy","mediastinoscopies","surgical procedure mediastinoscopic","mediastinoscopic surgery","surgeries mediastinoscopic"
"d019122","meditation","transcendental meditation"
"d000074403","meniscectomy","meniscectomies","arthroscopic meniscectomy","arthroscopic meniscectomies","meniscal resection"
"d016740","meridians","ching lo","jing luo","jingluo"
"d057748","mesotherapy",
"d059146","metastasectomy","metastasectomies"
"d008722","methods","study methodological","studies methodological","procedure"
"d045423","microbubbles","gas aphron colloidal"
"d008832","microchemistry",
"d017551","microdialysis",
"d042282","microdissection",
"d008839","microelectrodes","electrode miniaturized"
"d044085","microfluidics",
"d008845","microinjections",
"d008846","micromanipulation",
"d008852","microradiography","microradiographies"
"d008853","microscopy","optical microscopy","simple microscopy","light microscopy","compound microscopy","hand held microscopy"
"d015591","microspectrophotometry","microspectrophotometries"
"d008863","microspheres","microbead","latex particle","latex sphere","bead latex"
"d008866","microsurgery",
"d008867","microtomy","thin sectioning","ultramicrotomy"
"d009017","morbidity","morbidities"
"d000069577","morcellation",
"d009026","mortality","mortalities","case fatality rate","mortality excess","excess mortalities","decline mortality","determinant mortality","mortality differential","differential mortalities","age specific death rate","death rate","mortality rate"
"d009071","moxibustion","moxabustion"
"d009192","myelography","myelographies","cisternography myelographic","cisternographies myelographic"
"d009213","myography","myographies"
"d000074433","myotomy","myotomies"
"d009225","myringoplasty","myringoplasties"
"d053769","nanocapsules",
"d058726","nanoconjugates",
"d054118","nanospheres",
"d033262","narration","narrative ethics"
"d009324","naturopathy","medicine naturopathic"
"d009339","needles","hypodermic needle"
"d009392","nephrectomy","nephrectomies","heminephrectomy","heminephrectomies"
"d000074643","nephrotomy","nephrotomies","kidney incision","pyelotomy","pyelotomies","pyelostomy","pyelostomies","nephrostomy","nephrostomies"
"d000074682","nephroureterectomy","nephroureterectomies","nephro ureterectomy","nephro ureterectomies","ureteronephrectomy","ureteronephrectomies","heminephroureterectomy","heminephroureterectomies"
"d044582","neuroendoscopes",
"d044583","neuroendoscopy","neuroendoscopies"
"d058765","neurofeedback","brainwave biofeedback","alpha feedback","electromyography feedback","eeg feedback","electroencephalography biofeedback","alpha biofeedback","brainwave feedback"
"d059906","neuroimaging","brain imaging"
"d009458","neuroleptanalgesia","neuroleptoanalgesia"
"d038361","neuronavigation","frameless stereotaxy"
"d009485","neuroradiography","neuroradiographies"
"d049451","nomograms","partin table","nomogram partin"
"d009765","obesity",
"d019370","observation",
"d009811","odontometry",
"d064367","olfactometry",
"d009884","ophthalmodynamometry","ophthalmodynamometries"
"d019721","ophthalmoscopes","funduscope"
"d009887","ophthalmoscopy","ophthalmoscopies"
"d062308","optogenetics","optogenetic technique"
"d009919","orchiectomy","orchiectomies","orchidectomy","orchidectomies","castration male"
"d056126","orchiopexy","orchiopexies","orchidopexy","orchidopexies","laparoscopic orchiopexy","laparoscopic orchiopexies"
"d009945","organotherapy","organotherapies"
"d009970","orthodontics",
"d009988","orthoptics","pleoptic"
"d009991","oscillometry","oscillometries"
"d061286","osmometry",
"d010027","osteotomy","osteotomies"
"d010030","ostomy","ostomies"
"d019720","otoscopes",
"d038781","otoscopy",
"d010052","ovariectomy","ovariectomies","oophorectomy","oophorectomies","castration female","bilateral ovariectomy","bilateral ovariectomies"
"d050177","overweight",
"d010092","oximetry","oximetries","oximetry pulse","oximetries pulse"
"d010106","oxygenators",
"d041361","pacifiers",
"d053860","pallidotomy","pallidotomies"
"d010173","palpation",
"d010180","pancreatectomy","pancreatectomies"
"d016577","pancreaticoduodenectomy","pancreaticoduodenectomies","pancreatoduodenectomy","pancreatoduodenectomies","duodenopancreatectomy","duodenopancreatectomies"
"d010193","pancreaticojejunostomy","pancreaticojejunostomies","pancreatojejunostomy","pancreatojejunostomies"
"d010227","parabiosis","parabioses"
"d019152","paracentesis","paracenteses","puncture and aspiration","centesis","centeses","puncture and drainage","culdocentesis","culdocenteses"
"d017764","parasympathectomy","parasympathectomies","parasympathetic denervation"
"d016105","parathyroidectomy","parathyroidectomies"
"d010375","pedigree","identity genetic","genetic identities","family tree","genealogical tree","genealogic tree"
"d010387","pelvimetry","pelvimetries","cephalopelvic proportion","cephalopelvimetry","cephalopelvimetries"
"d010474","percussion",
"d010477","perfusion",
"d010492","pericardiectomy","pericardiectomies","pericardectomy","pericardectomies","pericardiotomy","pericardiotomies","pericardotomy","pericardotomies"
"d020519","pericardiocentesis","pericardiocenteses"
"d010517","periodontics","periodontal medicine"
"d010570","pessaries","pessary"
"d018918","phacoemulsification",
"d060735","pharmacovigilance",
"d010611","pharyngectomy","pharyngectomies"
"d010613","pharyngostomy","pharyngostomies"
"d010690","phlebography","phlebographies","venography","venographies"
"d018962","phlebotomy","phlebotomies","venesection","venipuncture"
"d010701","phonocardiography","phonocardiographies"
"d015612","phonophoresis","phonophoreses"
"d058433","photobioreactors",
"d010778","photochemotherapy","photochemotherapies","photodynamic therapy","photodynamic therapies"
"d010779","photofluorography","photofluorographies"
"d010780","photogrammetry","photogrammetries","stereophotogrammetry","stereophotogrammetries"
"d010781","photography","photographies"
"d010783","photometry","photometries"
"d010784","photomicrography","photomicrographies"
"d017893","photopheresis","extracorporeal photopheresis","extracorporeal photochemotherapy","extracorporeal photochemotherapies"
"d017156","photoplethysmography","photoplethysmographies","rheography light reflection","light reflection rheographies","photoreflexometry","photoreflexometries"
"d010789","phototherapy","phototherapies","therapy photoradiation","photoradiation therapies","light therapy","light therapies"
"d010826","physiognomy","physiognomies"
"d008517","phytotherapy","herbal therapy","herb therapy"
"d059745","piezosurgery","piezosurgeries","piezo electric surgery","piezo electric surgeries","piezo electric bone surgery","surgeries piezo electric bone"
"d010858","pigmentation",
"d000076822","pinealectomy",
"d010919","placebos","sham treatment"
"d010956","plasmapheresis","plasmaphereses","therapeutic plasmapheresis","therapeutic plasmaphereses","therapeutic immunoadsorption","double filtration plasmaphereses","plasmapheresis double filtration","adsorption therapeutic plasma"
"d000077780","plastination",
"d010983","plateletpheresis","plateletphereses","thrombocytapheresis","thrombocytaphereses","thrombocytopheresis","thrombocytophereses","blood plateletpheresis","blood plateletphereses"
"d010991","plethysmography","plethysmographies"
"d018700","pleurodesis",
"d011011","pneumoencephalography","pneumoencephalographies","cisternography pneumoencephalographic","cisternographies pneumoencephalographic"
"d011013","pneumonectomy","pneumonectomies","partial pneumonectomy","partial pneumonectomies","volume reduction lung"
"d011025","pneumonolysis","pneumonolyses"
"d011029","pneumoradiography","pneumoradiographies","air radiography","negative contrast radiography","radiography insufflation","radiographies negative contrast","radiographies air","radiographies insufflation"
"d011048","polarography","dc polarography","pulse polarography"
"d064798","polypharmacology",
"d019338","polypharmacy","polymedication"
"d017286","polysomnography","polysomnographies","monitoring sleep","somnography","somnographies"
"d011172","portography","portographies","splenoportography","splenoportographies"
"d011199","potentiometry",
"d011292","premedication",
"d015995","prevalence",
"d011336","probability","probabilities"
"d000078542","proctectomy","proctectomies","rectum excision","rectum resection","abdominoperineal resection","abdomino perineal excision","abdomino perineal resection","abdominoperineal excision","abdomino perineal rectum excision","rectum excision abdominoperineal"
"d020700","proctoscopes",
